,price,listing_title,listing_subtitle,name,sqft,bedrooms,bathrooms,address,price_per_sqft,listing_tags,listings_desc,developer,property_title_type,furnishing,built_year,listed_on,tenure,property_type,floor_lv,psf_det,floor_size_det,num_units,facilities,url
0,"2,550,000",D'Laman Greenville,,D'Laman Greenville,3122,5,6,"Jalan Bayu Laut/ KS09, Laman Kehijauan Pendamar, Bandar Botanic, Klang, Selangor",816.78,Semi-Detached House,"
Description
Greenville D'Laman Brand New Semi-D Endlot with land
                                    Want to sale 

2sty semiD endlot with land

D'laman, Greenville klang.

- 50x80+side empty land 20 (morning sun)
- new brand never stay
                                    Read More
",WCT Land Sdn Bhd,,,"January, 2017",5 days ago,Freehold,Semi-Detached House For Sale,,RM 816.78 psf,3122 sqft,266,"Barbeque Area, Car Park, Perimeter Fencing, Gymnasium room, Main entrance, Multi-purpose hall, 24 hours security, Swimming pool",https://www.propertyguru.com.my/property-listing/d-laman-greenville-for-sale-by-kimmy-yeoh-34715780#contact-agent
1,"750,000",Lake Vista Tmn tasik prima puchong,,Lake Vista Tmn tasik prima puchong,2500,5,4,"Puchong, Selangor",300.00,2.5-storey Terraced House,"
Description
Puchong landard 2.5 sty
                                    Property name : Lake Vista Tmn tasik prima puchong
price : RM750000
Int/Endlot/corner : int
Freehold/leasehold: leasehold
Bumi/non-bumi: non bumi
Land Size : 2.5 storey approx 1302 sq ft
Built up :  
Rooms : 4+1
Bathrooms :  4
Furniture :  partial furnished, kitchen cabinet
Car park : 2 lots in front house
Facilities : fan, lightings, aircond, waterheater, fully grilled
Availability : 2months notice
Preferred viewing time : work day 10am till 7pm
Remarks :
                                    Read More
",,Individual,,2009,5 days ago,Leasehold,2.5-storey Terraced House For Sale,,RM 300.00 psf,2500 sqft,,,https://www.propertyguru.com.my/property-listing/lake-vista-tmn-tasik-prima-puchong-for-sale-by-leon-lim-36136888
2,"592,000",RM2. 5k per mth(0 payment 0 MOT) - New 2 Sty Landed Homes @Near Sg Buloh,,RM2. 5k per mth(0 payment 0 MOT) - New 2 Sty Landed Homes @Near Sg Buloh,1798,4,4,"Near Sungai Buloh, freehold near aeon starbucks, Bukit Rahman Putra, Sungai Buloh, Selangor",329.25,2-storey Terraced House,"
Description
20 mins to Sgbuloh, freehold 24ft Superlink home. 0 dpayment free mot
                                    Brand New 2 Storey Hillside Superlink ParkHomes @Near Sg Buloh 
> 24x65 (Rare find in d market 24ft)
> Built up: 1792 sqft
> 4 Bedrooms + Attached Bathroom

Early Bird Promotion - 10 buyer ONLY
$$ -10% rebate ( 0 Downpayment )
$$ Cashback 
$$ Free SPA & Loan Legal Fee
$$ Free MOT Free MOT Free MOT
From RM 590k ++ ( Monthly from RM 2.4k )

# Gated Guarded with CCTV Camera
# Top notch security + Patrolling 24 hours
# RFID access
# Zen Garden + Paradise Garden (Playground, Fitness Area etc)

Accessibility 
-5 Mins to SJK(C) & SMK
-5 Mins to AEON SHOPPING Mall
-5 Mins to Commercial Shop (McDonald, Mr DIY, Banks & Starbucks)
-10Mins to NSK Grocery Mall n Giant
-10Mins to KPJ Hospital
-10Mins to Rawang KTM 

Highway:
~NKVE @ Damansara PJ Sunway..
~LATAR @ Sg Buloh KL..
~Guthrie @ Subang Shah Alam etc..

¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶
Viewing by Appointment Only:
Nick Chin  +60126642834 

(Direct Developer Sales- Call/WhatsApp)
¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶
                                    Read More
",,,,N/A,5 days ago,Freehold,2-storey Terraced House For Sale,,RM 329.25 psf,1798 sqft,,"Balcony, City View, Corner Unit, Garage, Park / Greenery View, Intercom, Original Condition, Outdoor Patio, Roof Terrace, Terrace, Walk-in-wardrobe, Water Heater, Adventure park, Barbeque Area, Car Park, Covered car park, Children's Playground, Clubhouse, Covered Linkways, Eateries, Perimeter Fencing, Fitness corner, Function room, Game room, Gymnasium room, Jogging track, Landscaped Garden, Nursery, Pavillion, Playground, Precinct Pavilion, Reflexology Path, Roof Terrace, 24 hours security, Swimming pool, Tennis courts, Wading pool",https://www.propertyguru.com.my/property-listing/rm2-5k-per-mth-0-payment-0-mot-new-2-sty-landed-homes-near-sg-buloh-for-sale-by-nick-ch-35974954
3,"1,150,000","D'Premier 1, Bandar Damai Perdana",,"D'Premier 1, Bandar Damai Perdana",2700,4,3,"Jalan Damai Perdana 13/1H, Bandar Damai Perdana, Kajang, Selangor",425.93,2-storey Terraced House,"
Description
Brand new dpremier gated guarded must viewing key on hand
                                    *WTS Superlink D'Premier Bandar Damai Perdana Cheras for Sale* Please contact for viewing! I only advertise actual unit to avoid any disappointment!! KAR JUN 010-3413414 


Key on hand**
Key on hand**

-freehold
-brand new no people stay b4
-basic unfurnish
-24x75 land area
-2 storey terrace superlink
-2 tiers tight gated guarded
-4+1room 3 bathroom
-garden,jogging,hilltop 
-asking 1.2m nego

Kar Jun REN16999  010-3413414 

https://wa.me/60103413414

Many more corner, terrace house, Semi-D and bungalow area specialist cheras.
Please check out my profile portfolio. 

Thank you.

Whatsapp 010-3413414 
 Kar Jun
Whatsapp link: https://wa.me/60103413414

Team Leader |Senior Negotiator 
Propnex Realty Sdn Bhd

AREA FOCUS
#CHERASSOUTH.
#MAHKOTACHERAS subsales like -
#Sunstonevilla, #Cherasvista, #cherasidaman, #pearlresidences, #eastpark72, seksyen123567, #thevantage,
#sunstonevilla, #casaresidence, #tropicacheras, #quartzvilla.. Near #bmc etc.. #SUNGAILONG, #twinpalm, #kajang 

#PropNexRealty  #PropnexCheras #lenseng #cheras #alamdamai #bandardamaiperdana #cherashartamas #lagendamas #LeisureMall #cherassentral #tamanconnaught #cherasperdana #sungailong #tamancherasawana #batu9  #bandarmahkotacheras #bandartunhusseinonn #propertyagent #propertynegotiator #cherasagent  #cherasselatan #agentcheras  #tamanbukitangsana
                                    Read More
",Medan Damai Sdn Bhd,,Unfurnished,2014,51 minutes ago,Freehold,2-storey Terraced House For Sale,,RM 425.93 psf,2700 sqft,122,"Car Park, Children's Playground, Perimeter Fencing, 24 hours security",https://www.propertyguru.com.my/property-listing/d-premier-1-bandar-damai-perdana-for-sale-by-hei-kar-jun-35114499
4,"1,350,000",Taman Taming Indah 2,,Taman Taming Indah 2,4186,5,5,"Jalan Taming Indah, Bandar Sungai Long, Kajang, Selangor",322.50,3-storey Terraced House,"
Description
Fully Renovated
                                    Location :Taman Taming Indah 2
House Type :3 Storey House (Intermedia)
Land Area : 22X88 (1936sf)
Built Up :Estimate 4186sf
Rooms :5 Bedroom, 5 Bathroom
Tenure :Freehold
Direction : South West
Condition :Fully Renovated, Fully Furnished
Security :Gated and Guarded

Pls contact Shanny 012-3775331 
 for Viewing Appointment
                                    Read More
",,,Fully Furnished,N/A,3 hours ago,Bumi Lot,3-storey Terraced House For Sale,,RM 322.50 psf,4186 sqft,,"Balcony, Cooker Hob/Hood, Renovated, Walk-in-wardrobe, 24 hours security",https://www.propertyguru.com.my/property-listing/taman-taming-indah-2-for-sale-by-shanny-tan-34722299#contact-agent
5,"668,000",Flora Green,,Flora Green,1786,5,3,"- Jalan Sungai Long, Bandar Baru Sungai Long, Kajang, Selangor",374.02,Condominium,"
Description
Walking Distance To Utar
                                    Location : Flora Green
Property Type : Condominium
Built Up : 1782sf
Rooms :5 Bedroom, 3 Bathroom
Tenure : Freehold
Condition : No Renovation
Security : Gated and Guarded

* We provide ONE Stop service - Banker and Lawyer arrangement.
Pls Contact Shanny Tan 012-3775331 
  For Viewing Appointment
                                    Read More
",SHL Consolidated Berhad,,Partially Furnished,"January, 2000",1 day ago,Freehold,Condominium For Sale,Low Floor,RM 374.02 psf,1786 sqft,160,"Water Heater, Barbeque Area, Cafes, Covered car park, Clubhouse, Gymnasium room, Jogging track, Landscaped Garden, Mini-Mart, Nursery, Playground, Salon, Sauna, 24 hours security, Swimming pool, Wading pool",https://www.propertyguru.com.my/property-listing/flora-green-for-sale-by-shanny-tan-25369790
6,"888,000",Puchong New 3 Storey (with Private Rooftop Garden) - 0 downpayment,,Puchong New 3 Storey (with Private Rooftop Garden) - 0 downpayment,3700,5,6,"cashback 240k near LDP, Mcd Starbucks LRT Puchong, Bukit Puchong, Puchong, Selangor",240.00,Duplex,"
Description
Private garden every unit, limited unit Hot selling.0 payment 0 lawyer
                                    Garden Tri-Villa 3 Storey Home @Puchong 
  7 mins - LDP highway 
12 mins - Bandar Puteri Puchong
#BELOWMARKETPRICE- RM 245 psf 

:0 Downpayment (HIGH Rebate GRAB NOW)
:0 Legal Fee (No Hidden Cost) + Free Loan Stamp Duty
:Cashback for renovation available - Up To RM 240k 

# Private rooftop garden (no sharing)
# 3,600 sqft or 4,400 sqft
# 4+1 room / 5+1 room ; Individual Bathroom ALL
# Penthouse / Semi-D Sized Landed Concept
# 3 or 4 carpark Indoor 
# 30,000 sqft Clubhouse Facilities
===============================
NickChin    0126642834 

https://resort3storeyhomepuchong.wasap.my
                                    Read More
",,Strata,Partially Furnished,2019,5 days ago,,Duplex For Sale,,RM 240.00 psf,3700 sqft,,"Air-Conditioning, Balcony, Bathtub, City View, Corner Unit, Dishwasher, Garage, Private Garden, Park / Greenery View, Hairdryer, High Floor, Internet Connection, Intercom, Jacuzzi, Lake View, Low Floor, Living Room Furniture, Maidsroom, Original Condition, Outdoor Patio, Penthouse, Swimming Pool View, Private Pool, Roof Terrace, Terrace, Walk-in-wardrobe, Water Heater, Adventure park, Adult Fitness Stations, Badminton hall, Basketball court, Barbeque Area, Basement car park, Business Centre, Cafes, Car Park, Covered car park, Children's Playground, Clubhouse, Covered Linkways, Community Garden, Community Plaza, Drop Off Point, Driving range, Perimeter Fencing, Fun pool, Function room, Game room, Gymnasium room, Jogging track, Lap pool, Landscaped Garden, Lift lobby, Main entrance, Meeting room, Mini golf range, Mini-Mart, Multi-purpose hall, Nursery, Open car park, Pavillion, Pool Deck, Playground, Precinct Pavilion, Putting Green, Reading Room, Reflexology Path, Roof Terrace, Sauna, 24 hours security, Shelters, Sky Lounge, Squash court, Swimming pool, Tennis courts, Utilities Center, Wading pool, Aeroyoga Room",https://www.propertyguru.com.my/property-listing/puchong-new-3-storey-with-private-rooftop-garden-0-downpayment-for-sale-by-nick-ch-36100245#contact-agent
7,"510,000",Taman ttdi jaya,,Taman ttdi jaya,1500,4,3,"Jalan kahzanah U2/17, Taman TTDI Jaya, Shah Alam, Selangor",340.00,2-storey Terraced House,"
Description
Seksyen 13 Taman Ttdi Jaya Shah Alam
                                    Tmn Ttdi Jaya Seksyen U2, Shah Alam

Double Storey Ttdi Jaya Seksyen U2, Shah Alam For Sale.

4 Rooms 3 Bathrooms
Build up 1400sf
Land area 20 x 60
Kitchen Cabinet + Tabletop
Well maintain
Aircond and water heater.

NEARBY FACILITIES:-
- Giant Hypermarket, Seksyen 13
- AEON Seksyen 13
- Shah Alam Stadium
- Petrol Pump
- MSU / KDU /PTPL / Politeknik Shah Alam
- KTM & LRT

NEARBY HIGHWAY:-
- Federal Highway
- GCE (Guthrie Corridor Expressway)
- ELITE
-NVKE

Asking Price Rm510k(nego)

Irwan Yusoff 0163294334 

KW Reapfield Properties
                                    Read More
",,Individual,Partially Furnished,N/A,1 day ago,Freehold,2-storey Terraced House For Sale,,RM 340.00 psf,1500 sqft,,Playground,https://www.propertyguru.com.my/property-listing/taman-ttdi-jaya-for-sale-by-irwan-yusoff-35642939
8,"790,000","Freehold 22x80 2 Sty Superlink, Bangi Kajang UKM",,"Freehold 22x80 2 Sty Superlink, Bangi Kajang UKM",2274,5,4,"Kajang, Selangor",347.41,2-storey Terraced House,"
Description
Freehold, Cash Back Rm15,000, Free All Legal Fee, Gated Guarded
                                    22x80 Superlink, Free All Legal Fee, Cashback, Nice Landscape V Clubhouse

√ 2STY Superlink:
- Freehold
- LA: 22x80
- BU: 2,274sf
- 4+1 Beds 5 Baths
- Free All Legal Fees
- Cash Back RM15k for Early Bird Buyer
- VP end of 2024
- 24hrs Gated & Guarded
- Exclusive Clubhouse Facilities
- Beautiful Nature Landscape Environment

√ ACCESSIBILITY:
- Good location next to UKM Bangi
- 5km to Kajang Pusat Perhentian Bus (KWSP)
- 7km to Bangi Plus Toll
- 9km to Bdr Kajang / Bdr Baru Bangi
- 18km to Putrajaya
- 36km to KLIA

** Developer Marketing ATHENA CHIN 019-650 4151 

                                    Read More
",,Strata,Unfurnished,N/A,6 days ago,Freehold,2-storey Terraced House For Sale,,RM 347.41 psf,2274 sqft,,,https://www.propertyguru.com.my/property-listing/freehold-22x80-2-sty-superlink-bangi-kajang-ukm-for-sale-by-athena-chin-36248265
9,"850,000",Single Storey Bungalow Taman Eng Ann Klang Selling RM850K,,Single Storey Bungalow Taman Eng Ann Klang Selling RM850K,6000,4,2,"Klang, Selangor",141.67,Bungalow House,"
Description
Strategic location easy to access to highway
                                    Single Storey Bungalow Taman Eng Ann Klang Selling RM850K

Freehold
Bungalow unit 
Single storey
LA 6000sf
BU 2500sf 
4rooms 2baths

@ 5 mins walking distance to morning market 

@ 5 mins to access to Federal Highway 

@ 5 mins to Kwang Hua High School 

@ 10 mins to Aeon Shopping Mall Bukit Raja Klang 



Selling RM850K

Jessie Koh
REN11823 0176978956 

Hartamas Real Estate (M) Sdn Bhd
                                    Read More
",,,Partially Furnished,N/A,6 days ago,Freehold,Bungalow House For Sale,,RM 141.67 psf,2500 sqft,,Private Garden,https://www.propertyguru.com.my/property-listing/single-storey-bungalow-taman-eng-ann-klang-selling-rm850k-for-sale-by-jessie-koh-35725365#contact-agent
